simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	Area50	Area70	Area90	Dis50	Dis70	Dis90	Vol50	Vol70	Vol90
2740	2.7563908	0.85389304	2.5223556	2430.5647	36.56066	31.165203	0.2017005	0.32404345	9165.0531314	15254.76176752	26067.70659506	402.75522924	608.11928051	933.33646957	8.56460323e+08	1.32247809e+09	2.12652316e+09
2741	4.155925	0.9376825	0.88283193	2043.1748	34.60479	26.305601	0.020414062	0.045083947	279.86444989	512.64517853	1008.55227346	453.58809626	696.14921001	1102.49656092	68036038.49373506	1.32717725e+08	2.87159959e+08
2742	0.3779327	0.23613983	2.0529847	1784.3605	15.765249	12.460278	0.26145765	-0.12359702	425.09050092	756.73042803	1464.33904596	745.08540007	1139.4164895	1783.09464072	2.28597658e+08	4.16624518e+08	8.45562054e+08
2743	4.9959817	0.17027287	0.35688505	1586.9886	24.407309	15.792633	-0.136687	0.63819414	284.89452212	511.67651749	1241.25309185	793.66193161	1213.58677922	1904.55493508	1.38027311e+08	2.6588338e+08	7.23282893e+08
2744	2.6280646	0.08399775	0.9696703	1528.1228	57.577713	36.280697	0.014398942	-0.94975084	4290.92481186	10202.83305723	19702.60628457	1616.41630229	2403.18457596	3639.78823218	5.86775896e+09	1.56087611e+10	3.38060011e+10
2745	6.1495757	-1.1547325	2.0261023	545.4446	17.715475	17.371578	-0.2209817	-0.33122143	654.21087625	1334.45656818	2886.31649011	1207.11811243	1843.16669593	2884.99387037	8.69776493e+08	1.79107563e+09	3.89725045e+09
2746	0.4945998	-0.7188145	2.149302	2697.0662	46.678516	27.401943	-0.5405417	-0.30678466	391.95228105	766.99783401	1671.32977045	862.10741679	1304.05045039	1992.21138146	1.90410867e+08	3.9771183e+08	8.95545199e+08
2747	4.3801575	-0.05541903	1.350546	2099.9958	48.441906	25.966545	0.0948367	0.42597765	4514.79235599	7862.25447617	13726.34939207	758.13197807	1156.76903559	1807.78416456	2.13563656e+09	3.9006154e+09	7.52471369e+09
2748	1.071506	1.3071032	1.4671679	730.8987	8.99856	8.8717985	0.028830197	0.40791586	207.0325477	416.41048311	1002.73804409	769.06323193	1178.43766732	1861.80077297	86171748.12202956	2.1376409e+08	6.80738359e+08
2749	4.428162	0.7151835	0.8740253	323.00925	3.471228	2.9775226	0.039902534	0.14219739	709.12533835	1495.51538475	3413.73977362	747.7778495	1140.17374381	1776.91487127	3.5701555e+08	7.61923062e+08	1.79289603e+09
274	1.9847734	-0.43976247	2.2171445	492.58414	9.609198	8.632962	-0.18446726	-0.16707227	9553.65567184	15819.15402605	26654.810883	663.11516637	1005.0241782	1552.22330979	2.74359782e+09	4.23383711e+09	6.80287568e+09
2750	5.8845096	1.1232085	1.9059116	647.88464	14.675464	10.687344	0.0048624943	0.26593542	491.12623204	872.47575772	1754.50435631	1162.13286447	1780.96842141	2805.3324606	7.1553554e+08	1.37293509e+09	3.08256849e+09
2751	3.3782325	-0.17278616	1.7788787	1583.847	72.79512	37.577538	-0.7617271	-0.10191477	804.30330255	1424.34670792	2772.238408	1293.29871791	1973.20102326	3077.82984672	1.09199962e+09	2.15872231e+09	4.98945061e+09
2752	4.3676987	0.010184228	1.1495532	987.25964	29.88599	13.11582	-0.30848846	0.32521087	504.5932136	924.49223546	2202.85739085	1082.33145355	1658.81317669	2613.03221387	6.40279642e+08	1.27949886e+09	3.57313029e+09
2753	3.3903663	-0.5277719	2.4987638	1097.9948	21.975876	19.448412	0.9413254	-0.055806775	2.16147651	3.91696019	8.36534879	227.98450452	352.61247598	567.8839231	103980.53876476	208096.21162359	518772.67107376
2754	1.2169118	-0.93918264	2.2080414	2504.8213	42.376995	41.663826	-0.11741817	0.4042299	635.45256676	1148.77326275	2248.89001558	1524.41369278	2325.54382728	3631.94296502	1.24753689e+09	2.51963304e+09	5.68249193e+09
2755	3.083084	-0.85796326	1.1318372	2866.116	49.19393	20.839325	0.06974983	0.021047967	547.67370278	994.98863563	2002.62960528	1186.81709002	1795.36819493	2758.04976138	6.61780345e+08	1.32506248e+09	2.89667273e+09
2756	3.4557493	0.30107582	2.7900414	1700.971	14.618377	14.086811	0.1180776	-0.031279247	4073.15220781	7178.93222052	12355.56150203	590.50995168	900.99197706	1409.32137705	1.1098591e+09	2.12471428e+09	4.1934956e+09
2758	4.351072	-1.1704412	0.6091469	2523.1675	24.8065	15.987105	0.07935681	0.05496243	5.08707253	8.92399379	17.5029349	130.68077928	201.78302549	324.78565062	91127.44741482	181033.50466776	425709.69486347
2759	2.131356	-0.472296	2.5101192	630.20087	3.4430807	2.7153163	0.09607872	-0.18756925	100.41190652	187.8584302	418.09373687	246.82489612	370.8208635	562.74259715	3156309.33689165	6112513.47236531	14926868.17950266
275	0.01058225	-0.06312653	2.005891	4021.6135	81.91783	75.00107	0.2021744	0.42566192	252.45571761	592.78990938	1553.68742511	927.45549908	1427.6190033	2271.77842317	2.48706483e+08	6.50708161e+08	1.7633472e+09
2760	0.7533867	0.044703458	2.2543292	6823.463	87.50911	59.951385	0.25412983	0.14025497	439.34547002	788.52249632	1550.94413299	1025.87221315	1565.6152054	2441.04829435	4.38044415e+08	7.98907781e+08	1.61029385e+09
2761	1.0290679	0.92574424	2.335096	2137.734	26.595024	25.046661	-0.025265407	0.12660328	9.44568557	17.25728482	37.86801723	71.95207639	114.39902396	194.73569713	29907.36332611	61082.95955336	141194.98250886
2762	0.23717608	-0.22365798	2.0229888	5417.8423	62.699932	53.26531	0.23360197	0.46199027	562.63800466	1046.63575872	2028.47975254	1342.98459958	2031.6077995	3141.5656879	7.32730596e+08	1.52033186e+09	3.36660115e+09
2763	4.8481355	-0.844153	1.0199052	4716.6753	89.76229	63.42737	-0.017656397	0.19489624	4669.57981031	8285.29882037	16069.80624128	756.47867377	1154.00915775	1799.56553851	2.06917413e+09	3.95463361e+09	7.79254996e+09
2764	1.1549476	0.8358976	1.3957592	1754.4744	26.210894	23.686363	-0.034975406	0.18291391	419.96158559	855.60491799	1768.21224902	726.64875328	1116.96000581	1778.18951868	1.85805044e+08	3.96836602e+08	1.0141077e+09
2765	5.532747	0.090660945	2.8739402	926.19775	18.856546	6.459337	0.02622442	-0.21877956	34.89067357	70.09816834	328.32397594	524.35157019	842.19461397	1669.01112785	8919030.4295509	21233880.75058784	1.62282215e+08
2766	1.8287011	0.27812478	2.422817	1648.0753	58.81472	29.09147	0.007396736	-0.33174405	9555.83907532	15822.64318363	26657.27543065	638.75888018	966.05955027	1487.33773846	2.59303385e+09	3.99554695e+09	6.39203154e+09
2767	2.9908626	-0.7984281	2.9523554	2686.651	19.71654	19.251207	0.31142125	0.09948437	9337.34486007	15506.53918305	26332.60279937	518.15290791	784.37990294	1209.12479546	1.53684502e+09	2.37441053e+09	3.82537145e+09
2768	3.8505201	0.47599897	2.51222	3471.638	30.027136	20.918493	-0.039944205	0.09709448	2299.2735879	5881.01511339	13801.94687922	680.99268596	1045.99758939	1651.70407128	7.6672912e+08	2.31640759e+09	6.11167057e+09
276	4.1753845	0.72089916	2.9769309	1032.5693	77.90085	37.90749	0.03423249	-0.09685438	30.06206353	53.45059468	117.21965876	267.90453839	412.73949989	659.80835896	1769912.2202263	3617937.39546511	9840934.08686464
2770	0.7715437	-0.80137545	1.8461435	6509.331	154.53458	117.95849	-0.024570419	0.14848834	120.76381436	214.85190528	437.40663098	439.74925645	674.78898242	1067.72470103	24132533.83127638	47186043.64318483	1.09536609e+08
2771	0.14310433	0.27680257	2.4783013	1506.2917	14.011911	11.626188	-0.3483232	0.29395518	195.87231349	356.45512391	712.6128191	442.5177954	679.20123472	1074.85105599	39881562.62051868	79644777.17938721	1.79821359e+08
2773	5.797406	-0.8714236	2.4548452	918.76654	24.527729	11.945496	-0.09992615	0.010846487	647.975373	1346.49318724	2966.65733644	655.08604853	1001.19215904	1567.75516153	2.74660287e+08	5.76678515e+08	1.31242034e+09
2775	3.715073	0.10753077	2.267316	1149.8673	61.859264	26.72727	-0.3369132	0.010333924	424.77024801	977.39054334	3185.9445608	1190.61642297	1825.70593679	2879.18649503	5.9148555e+08	1.51973888e+09	5.42459844e+09
2776	3.0736406	0.3468722	0.37349138	3533.3274	31.026733	26.677895	-0.05613261	0.35531086	527.67084851	937.94209285	1819.53039232	1328.77689985	2035.4602138	3202.90757209	8.72548105e+08	1.67945627e+09	3.60134741e+09
2777	2.3643484	-0.29392982	0.7773039	3615.3552	48.12757	32.623085	0.9189268	-0.011798532	4818.38918597	8937.8698713	15974.30708088	313.02674962	475.61422045	738.09733339	2.56466658e+08	5.10055493e+08	1.03562036e+09
2778	3.5967975	-0.48193982	2.7953885	2252.9783	19.706076	14.739092	0.50600034	-0.034887634	1001.13688358	1880.99698645	3916.40492702	1706.06569131	2610.98012493	4095.48185747	2.73330231e+09	5.53408515e+09	1.25712351e+10
2779	4.577962	0.37249783	0.18402603	2328.273	28.049255	14.32741	-0.13470083	0.09666588	398.96820965	1214.5651176	2831.67768674	740.56950125	1146.61716751	1856.48316184	2.12993896e+08	7.10309752e+08	1.97797036e+09
277	0.33569732	-0.020646712	1.1747123	568.9654	72.15704	64.5667	0.011062051	0.81070745	433.92046118	857.79329632	2095.08966775	692.52451577	1058.89604116	1664.6564615	1.97808955e+08	3.79618565e+08	9.42679803e+08
2780	6.144388	0.11429112	1.1088887	1566.1705	18.797186	18.588966	-0.53290963	0.48103437	726.12551479	1555.46472871	3376.87743182	560.04829348	866.74505066	1399.49193323	1.78538956e+08	4.44796679e+08	1.15158769e+09
2781	6.039343	-0.5612013	0.4142234	2521.491	11.932287	7.961442	-0.6780454	-0.21629122	937.25853711	2239.7088574	7009.44093636	1008.3511983	1570.65268315	2610.4931781	2.1520813e+08	8.87691853e+08	6.18260898e+09
2782	5.631656	-1.2245579	0.2605221	6720.5625	80.62159	70.11011	-0.18501292	-0.015568649	427.5500429	804.48673531	1981.4730205	436.17430361	673.47814116	1071.8379137	52440097.1316338	1.26935714e+08	3.94027092e+08
2783	6.048355	0.46803033	2.855377	896.0586	27.74172	22.217043	-0.0027754628	0.6083577	6158.58327722	10540.24484938	18712.85272463	849.63415727	1294.16805871	2014.26661467	3.45604245e+09	6.11767881e+09	1.1195173e+10
2784	3.4347618	-1.3331664	2.6205618	1791.7046	37.112816	27.863115	-0.27326778	0.01270464	6904.59216612	11466.69338011	19421.51231333	1222.538293	1863.78060728	2904.43687114	7.2498567e+09	1.280661e+10	2.35576798e+10
2786	3.647811	0.61461204	2.5896564	3814.3582	22.799135	17.577229	0.30853662	0.70740175	7008.52355407	11153.01677418	18438.63118501	1246.20306288	1904.03833323	2979.052122	8.48694195e+09	1.42110147e+10	2.55871887e+10
2787	4.218334	1.0457051	1.8253143	1280.7866	19.335644	17.821133	0.84647995	-0.16365632	8857.47548413	14803.46518998	25576.82391645	266.56750786	402.83589324	618.88089296	2.90930125e+08	4.50808811e+08	7.31397789e+08
2788	3.2128046	-0.4195874	2.758044	1674.3885	22.65235	11.013638	-0.5259587	-0.08368974	674.26681581	1386.96099823	3230.47077862	449.14864636	684.63240794	1068.73066074	1.08616883e+08	2.15570948e+08	5.10994984e+08
2789	1.2981273	-0.27798074	2.5066938	10241.111	75.63408	59.300777	0.46232602	0.14019082	66.05956849	133.64325101	308.10598375	387.79964382	599.39917431	965.80650878	11258964.49496611	25510872.3454579	67879696.25221248
278	2.7858355	0.2736442	0.18268871	1942.0023	42.055916	37.42218	0.007967352	0.27785313	4584.78321302	7461.83119631	12214.84954069	547.06043076	836.64459503	1313.57504841	1.12493834e+09	1.99636762e+09	3.7171728e+09
2791	4.1062846	-0.5869062	2.6024678	1162.3146	24.879948	15.460891	-0.10174375	0.09025707	5058.29139652	9129.27908926	16583.61414292	778.6708244	1186.70806367	1851.50550834	2.04360875e+09	4.00537685e+09	7.99324099e+09
2792	0.6488181	0.7841806	2.5583713	1714.9565	11.138882	8.508164	0.74019456	0.10794958	2.90145367	5.26445721	10.40635659	66.61379451	105.2909529	162.32680012	7851.55097987	14771.38331215	31842.55874308
2793	4.104696	1.2933342	1.0806875	1285.673	38.61948	15.160821	0.09549028	0.39990112	8.94792228	42.2151071	160.9582996	257.53466489	398.62449338	645.94873119	738766.80828694	3898824.38507688	18682183.54577871
2794	4.1180787	-0.017242802	2.8269415	1423.088	9.721435	8.478347	-0.8408328	-0.12145028	3197.40323242	6291.62555065	12112.68024377	555.13855915	838.07718846	1283.89445616	6.99274681e+08	1.45094257e+09	3.05879015e+09
2795	1.9118879	0.20003223	0.80985516	2833.7778	99.14297	43.81478	-0.6535164	0.27201998	982.84901786	3999.42942676	11877.87238899	541.86718547	839.45860252	1321.3609238	1.02277743e+08	6.65624122e+08	2.69353713e+09
2796	4.770949	-1.3098973	3.029658	1518.3405	15.427664	12.715872	0.26433805	0.7381203	417.43178482	760.60067411	1513.0690637	871.52452602	1333.9335718	2093.7361193	3.47706669e+08	6.40296903e+08	1.28523412e+09
2797	3.7879157	-0.81095964	1.7716433	3255.1367	74.26872	70.780754	-0.008707268	-0.29001525	665.85252186	1195.43020269	2305.41135204	1330.83848466	2035.82936624	3195.79651757	1.13049356e+09	2.21343949e+09	4.92167701e+09
2798	1.3676128	0.38317767	1.4251643	857.2693	16.473763	12.711635	0.562497	-0.027155302	27.22018784	47.59285685	102.14557003	97.27657769	149.86503013	239.6615326	149867.47395264	299346.31240003	758484.88722535
